subj_idx,go,s,c,r,rt
7,1,1,1,1,0.54783
7,1,1,1,1,1.9805
7,1,1,1,0,0.41381
7,1,1,1,1,0.49441
7,1,1,0,0,NaN
7,1,1,1,1,0.64162
7,1,1,1,0,0.58795
7,0,2,1,0,0.54788
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,1,NaN
7,0,2,0,0,NaN
8,1,1,0,0,NaN
8,1,1,1,1,1.2173
8,1,1,1,0,1.619
8,1,1,0,0,NaN
8,1,1,1,1,1.1772
8,1,1,1,0,1.0835
8,1,1,0,0,NaN
8,1,1,0,0,NaN
8,1,1,1,1,0.90938
8,1,1,1,1,1.1636
8,1,1,1,1,0.86925
8,1,1,1,1,0.76229
8,1,1,1,1,1.1236
8,1,1,1,1,0.86926
8,1,1,1,1,0.66844
8,1,1,1,0,0.69504
8,1,1,1,1,1.2842
8,1,1,1,1,0.68175
8,1,1,1,1,0.69516
8,1,1,1,0,0.44081
8,1,1,1,1,0.61486
8,1,1,1,1,0.36039
8,1,1,1,0,0.61485
8,1,1,1,1,0.69516
8,1,1,1,1,0.89621
8,1,1,1,1,0.88257
8,1,1,1,0,0.44076
8,1,1,1,1,0.40057
8,1,1,1,1,0.78883
8,1,1,1,1,0.69525
8,1,1,1,1,1.0835
8,1,1,1,0,0.29359
8,1,1,1,1,0.66837
8,1,1,1,1,0.26679
8,1,1,1,1,0.34707
8,1,1,1,0,0.32017
8,1,1,1,1,0.65504
8,1,1,1,1,0.3337
8,1,1,1,1,0.29359
8,1,1,1,1,0.30695
8,1,1,1,1,0.37391
8,1,1,1,1,1.1236
8,1,1,1,1,0.69523
8,1,1,1,0,0.29347
8,1,1,1,0,0.57454
8,1,1,1,1,0.29358
8,1,1,1,1,0.33363
8,1,1,1,1,0.33366
8,1,1,1,1,0.48101
8,1,1,1,1,0.37383
8,1,1,1,1,0.30703
8,1,1,1,1,0.29358
8,1,1,1,1,0.29354
8,1,1,1,1,0.29357
8,1,1,1,1,0.25343
8,1,1,1,0,0.78896
8,1,1,1,1,0.2936
8,1,1,1,1,0.44079
8,1,1,1,1,0.57472
8,1,1,1,0,0.3739
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,1,NaN
8,0,2,0,0,NaN
8,0,2,0,1,NaN
